English,German
a blond woman in a tank top and shorts puts her foot in a fountain,eine blonde frau in trägerhemd und shorts hält ihren fuß in einen springbrunnen
people sitting on the ground watching a little boy and man doing something,mehrere personen sitzen am boden und sehen einem kleinen jungen und einem mann bei etwas zu
a girl in a red jacket laughs at the camera,ein mädchen in einer roten jacke lacht in die kamera
a woman dressed in black is silhouetted against a cloud darkened sky,eine schwarz gekleidete frau steht als silhouette vor einem durch wolken verdunkelten himmel
its a beautiful day for an outdoor wedding,es ist ein schöner tag für eine hochzeit unter freiem himmel
two people hug next to a group of teenagers,zwei personen umarmen sich neben einer gruppe teenager
several workers trudging down a dimly lit subway tunnel,mehrere arbeiter stapfen einen schwach erleuchteten u-bahn-tunnel entlang
woman sitting atop a row of blocks,eine frau sitzt auf einer reihe von blöcken
a band consisting of one female and three males plays during the day,eine band die aus einer frau und drei männern besteht spielt am helllichten tag
a young woman in a bright pink dress poses for the camera,eine junge frau in einem leuchtend pinkfarbenen kleid posiert für die kamera
a group of young people posing in the air on a sandy beach,eine gruppe junger menschen posiert in der luft an einem sandstrand
a man is playing with a black and white dog,ein mann spielt mit einem schwarz-weißen hund
man with glasses holding boy upside down outside in a stone-filled yard,ein mann mit brille der einen jungen draußen in einem mit hof mit vielen steinen mit dem kopf nach unten hält
two hands are flipping some food in a cast iron pan with a spatula,zwei hände geben mit einem spachtel etwas essbares in eine eisenpfanne
a dog swimming in the water with a stick in its mouth,ein hund der einen stock im maul hat schwimmt im wasser
crowd of people with red construction hats standing around a oil pump,eine menschenmenge mit roten bauarbeiterhelmen steht um eine ölpumpe herum
two women in bathing suits play on the beach,zwei frauen im badeanzug spielen am strand
walter lou anne kitty employees cheering in the success of creating battery powered locomotives,walter-lou-anne-kitty-mitarbeiter jubeln über die erfolgreiche herstellung von batteriebetriebenen lokomotiven
the man in white is talking to the women by the bench,der mann in weiß spricht mit der frau bei der bank
two men working on farm equipment that is being pulled by two horses,zwei männer arbeiten an landmaschinen die von zwei pferden gezogen werden
a woman in a blue tank top is sitting at a table,eine frau in einem blauen unterhemd sitzt an einem tisch
a dog walking along a cracked and ashen surface,ein hund der auf einer rissigen aschgrauen fläche läuft
a man is upside down on an outside gymnastics bar,ein mann hängt kopfüber an einer gymnastikstange im freien
a woman sits in rocks by the ocean,eine frau sitzt auf steinen am meer
a man is sitting reading a book,ein mann sitzt da und liest ein buch
a lady dressed in a white short dress is next to a table set for two with a rock pier in the background,eine frau in einem weißen kurzen kleid steht neben einem für zwei personen gedeckten tisch mit einer steinmole im hintergrund
one bird is landing on the shore near many other birds,ein vogel landet an der küste neben vielen anderen vögeln
two men are standing by a railing while posing for a picture,zwei männer stehen an einem geländer und posieren für ein foto
a little girl rides a toy bike and laughs,ein kleines mädchen sitzt lachend auf einem spielzeugfahrrad
a heavyset girl in a striped dress with glasses is holding hands with someone while she is receiving some sort of medical treatment,ein korpulentes mädchen im gestreiften kleid und mit brille hält die hand einer anderen person während es eine medizinische behandlung erhält
a doctor and her patient smile brightly as an infant nurses at the patient &apos;s breast,eine ärztin und ihre patientin lächeln strahlend als der säugling an der brust der patientin trinkt
a person in a black shirt is unloading items from a truck,eine person in einem schwarzen shirt lädt einen lastwagen ab
a man wearing black shirt with devil looking eyes holding two big slices of meat,ein mann mit schwarzem t-shirt und diabolischem blick hält zwei große fleischstücke in die höhe
nine female dancers wear tutus and use &quot; guitar hero &quot; guitars as a prop on stage,neun tänzerinnen tragen röckchen und verwenden auf der bühne gitarren aus dem spiel &quot; guitar hero &quot; als requisiten
a man in a cap is trimming a plant outdoors,ein mann mit mütze stutzt im freien eine pflanze
four men are performing work in a dirt lot near a building using a dump truck,vier männer arbeiten mit einem mülllaster auf einem müllplatz neben einem gebäude
a woman laying in a field,eine frau liegt auf einem feld
a man sits by a red building while smoking,ein mann sitzt neben einem roten gebäude und raucht
two adorable children who were dressed very similar by their mother are enjoying a train ride,zwei wunderschöne kinder die von der mutter sehr ähnlich angezogen wurden fahren zug
a man concentrates on his music holding his violin,ein mann konzentriert sich auf seine musik und hält seine geige
lady in white dress with tattooed leg looks at friend &apos;s camera,eine frau mit weißem kleid und tätowiertem bein schaut auf die kamera ihres freundes
two older men in front of a bus,zwei ältere männer vor einem bus
3 people riding motorcycles down the street,3 personen fahren motorrad auf der straße
two men are kickboxing,zwei männer beim kickboxen
a woman wearing number 145 is running a race,eine frau mit der nummer 145 nimmt an einem rennen teil
a person in a blue shirt is holding a microphone in their hands,eine person mit blauem hemd hält ein mikrofon in ihren händen
a boy getting his hair buzzed off by another boy,einem jungen werden von einem anderen jungen die haare abrasiert
these women are skating in the roller derby,diese frauen skaten beim roller-derby
four young men enjoy a dip in the local lake,vier junge männer vergnügen sich mit einem bad im örtlichen see
four children are smiling as they pose together with a bicycle that is much too big for them,vier kinder lächeln während sie zusammen mit einem fahrrad posieren das viel zu groß für sie ist
a man is in a barber &apos;s shop getting a haircut,ein mann in einem frisörsalon bekommt die haare geschnitten
a man and an old woman stand and look at something behind the photographer,ein mann und eine alte frau stehen da und schauen etwas hinter dem fotografen an
two men one holding a cigarette sitting at a table outdoors on the street,zwei männer von denen einer eine zigarette hält sitzen an einem tisch auf der straße
several men wearing ethnic hats are watching the photographer in an outdoor market,mehrere männer mit volkstümlichen hüten betrachten den fotografen auf einem markt
a woman who is doing yoga,eine frau macht yogaübungen
a woman dressed in a traditional wrap can be seen through a small hole archway,eine traditionell gekleidete frau ist durch das kleine loch eines torbogens zu sehen
dressed in his team uniform of yellow and black he plays soccer,er spielt fußball in seiner gelb-schwarzen team-uniform
one guy wearing pink and another guy wearing black are sitting and talking one of them is drinking something,ein pink gekleideter mann und ein schwarz gekleideter mann sitzen und reden einer trinkt etwas
two men prepare food while standing in the kitchen,zwei männer bereiten essen zu und stehen in der küche
a woman is looking at dressed headless mannequins in a store display,eine frau blickt auf bekleidete kopflose puppen in einem schaufenster
young women with a green beanie bending down to pick up a basket from a four legged desk,eine junge frau mit einem grünen beanie bückt sich um einen korb von einem vierbeinigen tisch aufzuheben
a toddler shovels a snowy driveway with a bright orange shovel,ein kleinkind schaufelt mit einer leuchtend orangefarbenen schaufel auf einer verschneiten zufahrt
a brown dogs walks near a green van and some junk,ein brauner hund läuft in der nähe von einem grünen fahrzeugs und etwas müll
a little boy has his index finger in his mouth,ein kleiner junge hat seinen zeigefinger im mund
